Frequency (Hz),Trace 1 (V),Phase (deg),Trace 2 (V),Phase (deg)
0,0.001467146341595763,1.572466234515563e-11,0.0002521215685623692,1.189781895241872e-10
4.075803422370618,0.001415308899416604,0.5454563531065388,0.0002446272927013264,0.1714105132589458
8.151606844741236,0.0009604751454723579,1.215424458463139,0.0001668658526719758,2.044601452103304
12.22741026711185,0.0003250028424215428,3.259741996709,4.807782140906227e-05,11.18798140756353
16.30321368948247,6.672216307709214e-05,2.685887158349978,1.219190584492012e-05,108.8024731300121
20.37901711185309,3.892228221436888e-05,151.4278041094995,1.707321698533107e-05,115.6906047592941
24.45482053422371,3.763777926985625e-05,137.0854161000549,2.692957017041483e-05,123.1977387743346
28.53062395659433,3.821651360797512e-05,130.1255814165902,2.81693172360379e-05,126.6115017850358
32.60642737896494,4.120646211848417e-05,101.7971501221966,1.457079460090776e-05,113.0571702681805
36.68223080133556,3.850829905987845e-05,79.35348503492433,1.019119714655416e-05,50.01794421115294
40.75803422370618,2.959546160810915e-05,79.38729522822025,1.696547719445135e-05,12.87410246581796
44.8338376460768,3.205308536686298e-05,96.43114557269121,2.597180826778578e-05,175.0691015182047
48.90964106844741,2.913047741228006e-05,109.6992004286759,2.574581625649357e-05,163.6540488205231
52.98544449081803,1.914466437622011e-05,156.8198433642086,1.522713595665947e-05,152.4007555274661
57.06124791318865,2.822659709832724e-05,11.3389707836112,9.81939343777667e-06,159.6014541587369
61.13705133555927,3.555068041915418e-05,13.25633465090614,1.159849925540137e-05,179.4291490576037
65.21285475792989,4.719047746506672e-05,11.58917580550195,1.704817922835686e-05,53.23209610668786
69.2886581803005,6.180989448227216e-05,9.337000600948878,3.748425249086939e-05,78.65207848029934
73.36446160267113,6.547149406099029e-05,10.09011689212649,4.396179219800609e-05,81.64099983316792
77.44026502504174,4.964058467619339e-05,14.82718093289003,3.443963596922874e-05,87.84848449174052
81.51606844741237,2.527018518438826e-05,35.41212332611943,2.622281943255544e-05,102.3657433449352
85.59187186978298,1.167720696477463e-05,81.04701524391383,5.979502261841619e-06,169.5330977514203
89.6676752921536,4.303265652018612e-06,140.2014979030649,3.500094438928377e-05,93.5174740554521
93.74347871452422,1.562533814561269e-06,87.12937740696995,4.989860074503677e-05,103.4838751617745
97.81928213689483,3.961030128083728e-06,4.435879494237479,5.266654721470755e-05,105.1681779454124
101.8950855592655,3.390642310904962e-06,92.12231529932045,5.751863472132053e-05,108.1207352467276
105.9708889816361,1.265888306728204e-05,158.9015539352612,4.769122974559803e-05,118.7819559329628
110.0466924040067,2.616936011074365e-05,165.5398544761615,3.508520770841137e-05,126.4720545761943
114.1224958263773,3.544833875165953e-05,178.0819931232223,2.922677124512605e-05,141.1919346283136
118.1982992487479,4.287997428952889e-05,9.69571175302573,2.637807417217297e-05,178.30723876136
122.2741026711185,5.729910891994875e-05,1.255255717533884,1.867401175088255e-05,10.074228371423
126.3499060934892,7.674699086727786e-05,174.583848374348,3.415036226520337e-06,9.759636663555002
130.4257095158598,8.319502222700113e-05,174.6172972242653,1.032308673573504e-05,139.3503774950666
134.5015129382304,7.715130332016478e-05,167.2156524833131,1.648772409080523e-05,161.6668190540021
138.577316360601,6.968938616227504e-05,149.3482414649108,1.513484075646201e-05,176.3007804108416
142.6531197829716,6.340006466713296e-05,127.8298597264393,1.386539044304023e-05,86.53016812705764
146.7289232053423,7.209131631181565e-05,110.436065063545,3.685455632231528e-05,47.87933846494262
150.8047266277129,8.996613457968627e-05,108.9523025991178,4.90112294560792e-05,25.67884073994942
154.8805300500835,8.448153559469565e-05,115.2692040332281,5.023183731845498e-05,179.2424620214102
158.9563334724541,5.477015064019366e-05,125.2452576676964,5.331726527795992e-05,147.9049183084334
163.0321368948247,2.758318963032252e-05,149.964122526323,5.95350131081997e-05,124.095771949754
167.1079403171953,2.047797890469814e-05,39.80865491700599,6.32620212333263e-05,104.4948292174895
171.183743739566,2.622105256933824e-05,75.29717323796271,6.330467294956466e-05,92.59831463905374
175.2595471619366,2.010402834864896e-05,61.40843519773828,4.260541399970248e-05,89.67645123855387
179.3353505843072,1.782003108552435e-05,33.10936159024159,1.557807455371907e-05,97.83239504226587
183.4111540066778,1.749058905318976e-05,47.22976073477709,9.002137606337671e-06,125.5904020531489
187.4869574290484,2.338524393399101e-05,53.65688734360299,1.209486922340508e-05,1.093884520367623
191.5627608514191,3.320474053019712e-05,47.43152118252345,2.40020859072683e-05,18.90533105173151
195.6385642737897,3.729382820709976e-05,52.93525387860386,2.664483343805088e-05,3.378659168990436
199.7143676961603,3.011114133888866e-05,60.51795375639974,2.600487457738044e-05,179.7214471987233
203.7901711185309,2.223513012353936e-05,81.38879839484227,1.625551074620015e-05,10.7539062180775
207.8659745409015,3.632092078026749e-05,128.5290299642541,5.814663617976222e-06,17.81155286793502
211.9417779632721,5.909563890555434e-05,135.6355638536693,2.758888513618853e-05,31.17477387873389
216.0175813856428,6.601781970450294e-05,122.1701788937724,4.526128567483813e-05,38.39740556629099
220.0933848080134,6.359349933208549e-05,104.8049204708284,4.606846841538318e-05,45.31668573132294
224.169188230384,5.528454676316923e-05,78.04095078987552,3.045901085390861e-05,65.32065923423595
228.2449916527546,5.235785142006124e-05,47.44877057426236,1.750064174134183e-05,112.3741807097245
232.3207950751252,4.267768654233345e-05,25.45533371422496,2.679892466769018e-05,0.9821679319491522
236.3965984974959,3.559885272176748e-05,20.11169362387579,4.112300373443584e-05,6.261215419871041
